Feature,PrincipalComponent,Loading
rhythm.beats_loudness.stdev,PC2,0.20927317181806052
rhythm.bpm,PC1,0.00480053023217129
rhythm.bpm,PC2,-0.031531695534123154
rhythm.danceability,PC1,-0.12180657660083649
rhythm.danceability,PC2,0.04334501679512354
rhythm.onset_rate,PC1,-0.14205834879730272
rhythm.onset_rate,PC2,0.04592078648257161
tonal.chords_changes_rate,PC1,-0.14278035006869458
tonal.chords_changes_rate,PC2,0.03802929661672876
tonal.chords_number_rate,PC1,-0.04930643363473844
tonal.chords_number_rate,PC2,0.02868356435397411
tonal.chords_strength.mean,PC1,0.051527638618880635
tonal.chords_strength.mean,PC2,-0.048672418193196676
tonal.chords_strength.stdev,PC1,0.012855048050025809
tonal.chords_strength.stdev,PC2,-0.002934115584182397
tonal.key_krumhansl.strength,PC1,0.07670140186263037
tonal.key_krumhansl.strength,PC2,-0.060197476147795206
lowlevel.mfcc.mean.0,PC1,-0.19338672192215772
lowlevel.mfcc.mean.0,PC2,-0.12066631419237235
lowlevel.mfcc.mean.1,PC1,0.201161071197289
lowlevel.mfcc.mean.1,PC2,0.09941411603445563
lowlevel.mfcc.mean.2,PC1,0.028084411549019812
lowlevel.mfcc.mean.2,PC2,0.16670543663740342
lowlevel.mfcc.mean.3,PC1,-0.07093840003589065
lowlevel.mfcc.mean.3,PC2,-0.0101130185079995
lowlevel.mfcc.mean.4,PC1,-0.09300522099586589
lowlevel.mfcc.mean.4,PC2,0.050143730076397434
lowlevel.mfcc.mean.5,PC1,-0.14603920016169633
lowlevel.mfcc.mean.5,PC2,0.0076556227042591145
lowlevel.mfcc.mean.6,PC1,-0.1219907461508402
lowlevel.mfcc.mean.6,PC2,0.04010794304641693
lowlevel.mfcc.mean.7,PC1,-0.14992176347860117
lowlevel.mfcc.mean.7,PC2,0.008382507874633363
lowlevel.mfcc.mean.8,PC1,-0.14539529916518595
lowlevel.mfcc.mean.8,PC2,0.014075546669618402
lowlevel.mfcc.mean.9,PC1,-0.1391510994984316
lowlevel.mfcc.mean.9,PC2,0.04042612571308021
lowlevel.mfcc.mean.10,PC1,-0.13140537059825802
lowlevel.mfcc.mean.10,PC2,0.05217579415794788
lowlevel.mfcc.mean.11,PC1,-0.10430328803570695
lowlevel.mfcc.mean.11,PC2,0.06011438146715303
lowlevel.mfcc.mean.12,PC1,-0.10452644671976198
lowlevel.mfcc.mean.12,PC2,0.04585896231889581
